WKT,fid,tipe,nama,panjang
"LINESTRING (113.7039738 -8.1687922,113.7039148 -8.1691984,113.7038981 -8.1692697,113.7038733 -8.1693751,113.7037713 -8.1696099,113.7036627 -8.169724,113.7033891 -8.1699577,113.7031692 -8.1701542,113.7031162 -8.1702172,113.7029425 -8.1704483)",23,residential,Jalan Ciliwung,224.592951461854
"LINESTRING (113.7110218 -8.1682975,113.7110421 -8.168258,113.711066 -8.1682391,113.7111007 -8.1682106,113.7111481 -8.1681946,113.7112123 -8.1681917,113.7112671 -8.1682261,113.7113059 -8.1682618,113.7113213 -8.1682942,113.7113323 -8.168327,113.7113284 -8.1683682,113.7113004 -8.1684315,113.7112654 -8.1684617,113.7112108 -8.168495,113.7111426 -8.1684963,113.7110789 -8.1684694,113.7110425 -8.1684195,113.7110174 -8.1683376,113.7110218 -8.1682975)",24,secondary,Jalan Bundaran DPRD,106.924374016031
"LINESTRING (113.725384 -8.1675047,113.725278 -8.1675451,113.725166 -8.167571,113.7250567 -8.167585,113.7249199 -8.1675976,113.7247811 -8.1676175,113.7246061 -8.167648,113.724527 -8.1676779,113.724421 -8.1677171,113.7242547 -8.1677814,113.7239778 -8.1679095,113.7237532 -8.1680138,113.7234159 -8.168179,113.7231644 -8.1683045,113.7229431 -8.1684332,113.722797 -8.1685195,113.7227319 -8.168566,113.7226481 -8.168641,113.7225616 -8.1687425,113.7224168 -8.1689317,113.7223058 -8.1691109,113.7222129 -8.1692609,113.7219487 -8.1697654,113.7217194 -8.1702658,113.7214512 -8.1708752)",25,secondary,Jalan Riau,612.113026959272
"LINESTRING (113.7168472 -8.1511137,113.7167265 -8.1510579,113.7165467 -8.150965,113.7163237 -8.1508552,113.7162906 -8.1508389,113.7161741 -8.150802,113.7160559 -8.1507645,113.7158802 -8.15073,113.7153934 -8.1506517,113.7149803 -8.1505986,113.7143125 -8.150503,113.7138632 -8.15043,113.7134582 -8.1503636,113.7128721 -8.1502149,113.7127648 -8.1501883,113.7120527 -8.1500363,113.7112883 -8.1498886,113.7110687 -8.1498466,113.7108878 -8.149812)",26,secondary,Jalan Dokter Soebandi,675.650751662638
"LINESTRING (113.7143791 -8.1582965,113.7143961 -8.1582664,113.7144223 -8.1582436,113.7144546 -8.1582307,113.7144894 -8.1582291,113.7145228 -8.1582391,113.7145546 -8.1582634,113.7145747 -8.1582979,113.7145799 -8.1583374,113.7145696 -8.1583759,113.7145425 -8.1584098,113.7145037 -8.1584297,113.7144601 -8.1584319,113.714426 -8.1584201,113.7143981 -8.1583975,113.7143798 -8.1583668,113.7143732 -8.1583317,113.7143791 -8.1582965)",27,secondary,Jalan Bundaran Mastrip,71.0603653455465
"LINESTRING (113.7240146 -8.162937,113.7240757 -8.163086,113.7241153 -8.163175,113.7243091 -8.1637465,113.7243372 -8.1638441,113.7244928 -8.1644501,113.7246625 -8.1651486,113.72471 -8.1653441,113.7249481 -8.1662442,113.7250621 -8.166748,113.7251204 -8.1669405,113.7252311 -8.1672,113.7253182 -8.1673653,113.725384 -8.1675047)",28,secondary,Jalan Mastrip,528.975969580688
"LINESTRING (113.7279629 -8.1611757,113.7282621 -8.1613199,113.7282762 -8.1613291,113.7282864 -8.1613412,113.7282936 -8.1613526,113.7283017 -8.1613722,113.728305 -8.1613908,113.7283057 -8.1614019,113.7283045 -8.1614275)",29,residential,Gang Jalan Taman Kampus,50.2545498430677
"LINESTRING (113.7018245 -8.1667013,113.7017168 -8.1665558,113.7016802 -8.1664744,113.7015379 -8.1661523,113.7015332 -8.1661302,113.7015294 -8.1660983,113.7015281 -8.1660507)",30,tertiary,Jalan Mawar,80.1551557888837
"LINESTRING (113.7113596 -8.1569513,113.7117463 -8.1571726)",31,secondary,Jalan Mastrip,49.1776237614915
"LINESTRING (113.7027796 -8.1658117,113.7033107 -8.1654203,113.7040557 -8.1646054,113.7042524 -8.164467)",32,tertiary,Jalan Wijaya Kusuma,221.397806385786
