WKT,fid,tipe,nama,panjang
"LINESTRING (113.7799227 -8.2037543,113.7796487 -8.2038155,113.7793662 -8.2038915,113.779281 -8.203923,113.7786868 -8.2040743,113.7783984 -8.2041547,113.778283 -8.2041709,113.7782082 -8.2041623,113.7781504 -8.2041473,113.7781004 -8.2041193,113.778027 -8.2040544,113.777732 -8.2037465,113.7775281 -8.203542,113.777445 -8.2034465,113.7774208 -8.2033974,113.7774067 -8.2033455,113.7773792 -8.2030934)",1960,residential,,351.870892718987
"LINESTRING (113.6317179 -8.1760006,113.6310009 -8.1760043,113.6294385 -8.1760509,113.6275168 -8.1761214,113.6267504 -8.176128)",1961,residential,,547.970693013759
"LINESTRING (113.6346126 -8.1942468,113.6348842 -8.1942403,113.6349041 -8.1942388,113.634903 -8.1942506,113.6349003 -8.1942615,113.6348539 -8.1944805,113.6348241 -8.1946699)",1962,residential,,80.69695252438
"LINESTRING (113.6417393 -8.1857638,113.6416491 -8.1863493,113.6416206 -8.1865406,113.6415764 -8.1867321,113.6414798 -8.1870503,113.6413874 -8.1873721,113.641351 -8.1874977,113.641312 -8.1876271,113.6412622 -8.1877678,113.6411847 -8.1879078,113.6410921 -8.1880531,113.6410311 -8.1881614,113.6409836 -8.1882769,113.6409587 -8.1883602,113.640946 -8.1884103,113.6409427 -8.1884415,113.6409447 -8.1884617,113.6409917 -8.1887375,113.6410033 -8.1888054,113.6410104 -8.1889047,113.6410171 -8.1890401,113.6410278 -8.1891835,113.6410386 -8.1895246,113.6410372 -8.1898685,113.6410232 -8.1902168,113.641023 -8.1902611,113.6410437 -8.1904095,113.64106 -8.1904857,113.6410702 -8.1905185,113.6410902 -8.190568,113.6413709 -8.1911244,113.6415055 -8.1914296,113.6416359 -8.1917213,113.6417717 -8.1920497,113.6418167 -8.1922015,113.6418537 -8.1923266,113.6419287 -8.1926859,113.6419906 -8.1929204,113.6420742 -8.193161,113.642128 -8.193298,113.6421836 -8.1934298,113.6422568 -8.1935888,113.6423472 -8.1937458,113.6423802 -8.1938122)",1963,residential,Jalan Perumdim Raya,936.27831621705
"LINESTRING (113.6405289 -8.1887985,113.6405576 -8.1891241,113.6405691 -8.1893069,113.6405698 -8.1895209,113.6405716 -8.1895823,113.6405856 -8.1897384,113.6406035 -8.1898902,113.6406073 -8.1899473,113.6406304 -8.1902942,113.6406369 -8.1903948,113.6406429 -8.1904519,113.640663 -8.1905474,113.6406842 -8.1906397,113.6407053 -8.190712,113.6407471 -8.1908192,113.6407904 -8.1909052,113.640897 -8.1911249,113.641106 -8.1915508)",1964,residential,,315.958126805657
"LINESTRING (113.6347288 -8.1967298,113.6345472 -8.1963094,113.6344654 -8.1961153,113.6344334 -8.1960384,113.634407 -8.195977,113.6343528 -8.195811,113.6343444 -8.1957768,113.6343411 -8.1957542,113.6343392 -8.1957102,113.6343397 -8.1956679,113.6343441 -8.1956258,113.634464 -8.1949912,113.6345269 -8.1946923,113.6346126 -8.1942468,113.6346358 -8.1941361,113.6346389 -8.1941104,113.6346398 -8.1940804,113.6346398 -8.1940273,113.6346166 -8.1935982,113.6345885 -8.1933025,113.6344837 -8.1923142,113.6344356 -8.1917335,113.6343974 -8.1910558,113.6343922 -8.1910032,113.6343429 -8.1906891,113.6343089 -8.1904738,113.6342629 -8.1900914,113.6341746 -8.1888826,113.6341667 -8.188764,113.6341634 -8.1886615,113.6341842 -8.1877293,113.6342137 -8.1873317,113.6343493 -8.1861075,113.6343796 -8.1858342,113.6344095 -8.1855596,113.6344383 -8.1852948,113.6344591 -8.1851488,113.6344881 -8.1848952,113.6345626 -8.1843594,113.6346991 -8.183733,113.6347152 -8.1836308,113.6347233 -8.1835352,113.6347333 -8.1831046,113.6347535 -8.1824023,113.6347634 -8.1822944,113.6347653 -8.182253,113.6348185 -8.1816224,113.6348239 -8.1815759,113.6348641 -8.1813715,113.6348956 -8.1812593,113.6349332 -8.1811465,113.634967 -8.1810811,113.6349905 -8.1810449,113.6350195 -8.1810075,113.6350542 -8.1809726,113.635104 -8.1809292,113.635187 -8.180873,113.6357995 -8.1805551,113.6358652 -8.180508,113.6359155 -8.1804522,113.6359671 -8.1803474,113.6363758 -8.1791784,113.6364144 -8.1790272,113.6364466 -8.1788918,113.6364617 -8.1788205,113.6364801 -8.1787338,113.6365123 -8.1785334,113.6365472 -8.1781816,113.6365651 -8.1779934,113.6366495 -8.1771075,113.6366681 -8.1768918,113.6367202 -8.1760975,113.6367202 -8.1759833,113.6367168 -8.1758607,113.6366947 -8.17567,113.6366358 -8.1754122,113.6364627 -8.1745353,113.6363823 -8.1741859,113.636363 -8.1740267,113.6363565 -8.1738612,113.6363702 -8.1736377,113.6364198 -8.1731014,113.6365539 -8.1721535,113.6366048 -8.1717009,113.6366048 -8.1713194,113.6365509 -8.1709155,113.6364471 -8.1705861,113.6364208 -8.1705026,113.6364163 -8.1702423,113.6363804 -8.169789,113.6363741 -8.1694282,113.6363714 -8.1692774,113.6363567 -8.1691152,113.6363445 -8.1689812,113.6362637 -8.168335,113.6362053 -8.1679759,113.636129 -8.1676304,113.636087 -8.1672897,113.6360797 -8.1672309,113.6360572 -8.1666924,113.636063 -8.1663338,113.6361052 -8.1660628)",1965,tertiary,Jalan Merak,3495.30176411426
"LINESTRING (113.6347653 -8.182253,113.632883 -8.1821833,113.6324702 -8.1821547,113.6320585 -8.1821348,113.6314825 -8.1821009,113.6311942 -8.1820784,113.6311221 -8.1820684,113.6308141 -8.181991,113.6306181 -8.1819264,113.6303653 -8.1818482,113.6301085 -8.1817817,113.6299919 -8.1817465,113.6298792 -8.1817014,113.6293882 -8.1814216,113.6283973 -8.1808299,113.6281693 -8.1807264,113.6280164 -8.1806733,113.6277277 -8.1806183,113.6271757 -8.1805016,113.6268122 -8.1804522,113.6261281 -8.1803334,113.6258922 -8.1802817,113.6255763 -8.1802266,113.6252818 -8.180156,113.6249469 -8.1800202,113.6246781 -8.1798756,113.6239985 -8.1795051,113.6237007 -8.1793644,113.6235023 -8.179306,113.6232904 -8.179298,113.62265 -8.1793225,113.6220954 -8.1793572,113.6217186 -8.1793962,113.6214289 -8.1794387,113.6211171 -8.1794469,113.6202353 -8.179629)",1966,unclassified,,1668.83688932407
"LINESTRING (113.634123 -8.1941223,113.6346389 -8.1941104)",1967,residential,,56.8990708429229
"LINESTRING (113.6415669 -8.2079542,113.6410675 -8.2079189,113.639863 -8.2078597,113.6394905 -8.2078418,113.6392228 -8.2078369,113.63875 -8.2078283,113.6382742 -8.2076937,113.6379197 -8.2076039,113.6373273 -8.2074334,113.6372622 -8.2079615,113.6372555 -8.20812,113.63722 -8.2085142,113.6370344 -8.2095216)",1968,residential,,707.389381367063
"LINESTRING (113.6396143 -8.1958506,113.6392924 -8.195956,113.639283 -8.1959566,113.639275 -8.1959557,113.6392644 -8.1959518,113.6392545 -8.195943,113.6392482 -8.1959321,113.6392077 -8.1958367,113.6389026 -8.1951007)",1969,residential,,142.97661817265
"LINESTRING (113.6375832 -8.1843244,113.6375342 -8.1846211,113.6375275 -8.1846934,113.6375269 -8.1847738,113.6375315 -8.1851282)",1970,residential,,89.4341810535055
"LINESTRING (113.6416159 -8.1902381,113.6410232 -8.1902168)",1971,residential,,65.3953931260086
"LINESTRING (113.6414328 -8.1898581,113.6410372 -8.1898685)",1972,residential,,43.6352712129878
"LINESTRING (113.6345269 -8.1946923,113.6348241 -8.1946699,113.6351548 -8.1946585)",1973,residential,,69.3484776245251
"LINESTRING (113.6305371 -8.1972324,113.6304591 -8.1966981,113.6305357 -8.1962208,113.6305403 -8.1962061,113.6305454 -8.1961999,113.6305531 -8.1961956,113.630643 -8.1961926,113.6306503 -8.1961913,113.6306556 -8.1961894,113.6306601 -8.1961848,113.6306632 -8.19618,113.6307041 -8.1960951,113.6307073 -8.1960925,113.6307117 -8.1960925,113.6308909 -8.1961298,113.6309917 -8.1956391,113.630997 -8.1956296,113.6310053 -8.1956223,113.6310158 -8.1956178,113.6310282 -8.1956175,113.6311835 -8.1956331,113.631573 -8.1957142)",1974,residential,,282.622194152297
"LINESTRING (113.63875 -8.2078283,113.6387006 -8.2080258,113.6386692 -8.2083265,113.6386663 -8.2086546,113.6380184 -8.2085464,113.6376238 -8.2085157,113.63722 -8.2085142,113.6365628 -8.2085359)",1975,residential,,325.390870647003
"LINESTRING (113.6413709 -8.1911244,113.6414666 -8.1911112,113.642406 -8.1908356)",1976,residential,,118.63092138165
"LINESTRING (113.6320751 -8.1965143,113.6317623 -8.1966117,113.6311956 -8.1968198)",1977,residential,,102.728154486298
"LINESTRING (113.6369918 -8.1849516,113.6370903 -8.1839335,113.6371209 -8.1836566,113.637152 -8.1834841,113.6371614 -8.1834742,113.6371795 -8.1834609,113.6371956 -8.1834573,113.6372204 -8.1834602,113.6377463 -8.183609,113.6377354 -8.1836627,113.6377327 -8.1836906,113.6377294 -8.1837291,113.6377193 -8.1838047,113.6377052 -8.1838771,113.6376744 -8.1840098,113.6375832 -8.1843244)",1978,residential,,313.61642284247
"LINESTRING (113.6324371 -8.1659685,113.6324445 -8.1675316,113.6323547 -8.1691742,113.6323278 -8.1692325,113.6322021 -8.1693358,113.6321707 -8.169439,113.6321842 -8.1697307,113.6324176 -8.1715662,113.6325387 -8.172217,113.6326105 -8.1724189,113.6326258 -8.1724788,113.6326285 -8.1725446,113.6326151 -8.1726075,113.6325881 -8.1726747,113.6324977 -8.1727854,113.632438 -8.1728538,113.6324058 -8.1729102,113.6323862 -8.1729665,113.6322044 -8.1736028,113.6321251 -8.1738801,113.6320826 -8.1740479,113.6318521 -8.1751745,113.6318158 -8.1753687,113.6317179 -8.1760006,113.6316749 -8.1762501,113.63152 -8.1771581,113.6314435 -8.1775504,113.631319 -8.1783833,113.6312351 -8.1790232,113.6311739 -8.1793836,113.6310473 -8.1801104,113.6310419 -8.1801741,113.6310366 -8.1802485,113.6310409 -8.1803324,113.6310537 -8.1803882,113.6310862 -8.1804688,113.6312807 -8.180798,113.6313055 -8.1808651,113.6313209 -8.1809387,113.6313249 -8.1810197,113.6313155 -8.1811146,113.6312133 -8.1819197,113.6312082 -8.1819781,113.6311942 -8.1820784)",1979,unclassified,Jalan Hassanudin,1826.04277327506
"LINESTRING (113.63818 -8.1960611,113.6382168 -8.1957677,113.6382518 -8.195352)",1980,residential,,78.8890024630556
"LINESTRING (113.635087 -8.1837059,113.6347152 -8.1836308)",1981,residential,,41.8302333605054
"LINESTRING (113.6405698 -8.1895209,113.6410386 -8.1895246,113.6415723 -8.1894769)",1982,residential,,110.776776258086
"LINESTRING (113.6333771 -8.1965671,113.6334408 -8.1967971,113.633562 -8.1971875)",1983,residential,,71.6291346761604
"LINESTRING (113.6409427 -8.1884415,113.640149 -8.1885445)",1984,residential,,88.2553089316727
"LINESTRING (113.6401389 -8.1891436,113.6405576 -8.1891241)",1985,residential,,46.2176290862765
"LINESTRING (113.6381491 -8.1852715,113.6381732 -8.1851956,113.6381873 -8.1851338,113.6382098 -8.1850631,113.6383205 -8.1847186,113.6385437 -8.1839869,113.6385669 -8.1839086,113.6385716 -8.1838727,113.6385702 -8.1838498,113.6385686 -8.1838412,113.6385632 -8.1838319,113.6385535 -8.1838246)",1986,residential,,167.77495931405
"LINESTRING (113.6397015 -8.1962322,113.639742 -8.196527,113.6397352 -8.1966573,113.6396072 -8.197262,113.6394408 -8.1977527,113.6392584 -8.1982539,113.6392435 -8.198273,113.6392173 -8.1982929,113.6392026 -8.1983022,113.6391757 -8.1983085,113.6389115 -8.1983055,113.6388955 -8.1983068,113.638883 -8.198313,113.6388733 -8.1983214,113.63887 -8.198332,113.6384881 -8.1994297,113.6384134 -8.1999162,113.6383909 -8.2001136,113.6384006 -8.2001572,113.6384358 -8.2001854,113.6389744 -8.200356,113.6390103 -8.2003964,113.6390147 -8.2004368,113.638797 -8.2011467,113.6387904 -8.2011683,113.6387409 -8.2014007,113.6385452 -8.2023204,113.6383864 -8.2030846,113.6383246 -8.2034788,113.6381925 -8.2043213,113.638169 -8.2044711,113.6380839 -8.2048536,113.6380035 -8.2052149,113.637917 -8.2056226)",1987,residential,Jalan Permata Madani,1153.26003382156
"LINESTRING (113.633903 -8.2064357,113.633468 -8.2063946)",1988,residential,,48.1773733998378
"LINESTRING (113.6370344 -8.2095216,113.6371337 -8.209572,113.637412 -8.2096846,113.6378299 -8.2098119,113.6380858 -8.2098748,113.6382879 -8.2099413,113.6384134 -8.2099825,113.6386712 -8.2100543,113.6388702 -8.2101621,113.6391261 -8.2102599)",1989,residential,,245.39337945649
"LINESTRING (113.6309494 -8.2090387,113.6324038 -8.2080543,113.6325212 -8.208014,113.6326982 -8.2079662,113.6328994 -8.2079064,113.6331233 -8.2078295,113.6333057 -8.2077949,113.6334787 -8.2077419,113.6335766 -8.2076981,113.6336182 -8.2076516,113.6336383 -8.2075653,113.633698 -8.2070596,113.63369 -8.2070138,113.6336718 -8.2069806,113.6336491 -8.20697,113.6335894 -8.2069574,113.6335102 -8.2069375,113.633468 -8.2069255,113.6334465 -8.2069096,113.6334291 -8.2068512,113.6334465 -8.206603,113.633468 -8.2063946,113.6334814 -8.2060747,113.6334839 -8.2058371,113.6334868 -8.205553,113.6334465 -8.2051654,113.6333835 -8.2047924,113.6333728 -8.2046292,113.633356 -8.2045356,113.6333325 -8.2044924,113.6332997 -8.2044666,113.6332119 -8.2044384,113.6331639 -8.2044231,113.6331297 -8.2044032,113.6330999 -8.2043644,113.6330751 -8.2040425,113.6330871 -8.2037624,113.6330804 -8.2034717,113.633059 -8.2032474)",1990,residential,,861.621911423274
"LINESTRING (113.6385031 -8.1952577,113.638566 -8.195536,113.6386467 -8.1961867,113.6386992 -8.1966139)",1991,residential,,151.760314312966
"LINESTRING (113.6430837 -8.1916645,113.6424051 -8.1918556,113.6421436 -8.1919357,113.6419418 -8.1919988,113.6417717 -8.1920497)",1992,residential,,150.825608308798
"LINESTRING (113.6373273 -8.2074334,113.6374447 -8.2068554)",1993,residential,,65.2628254824218
"LINESTRING (113.6415055 -8.1914296,113.6426369 -8.1911008)",1994,residential,,129.949877029116
"LINESTRING (113.643254 -8.1922869,113.6431682 -8.1919751,113.6424682 -8.1921834,113.6418537 -8.1923266)",1995,residential,,185.917687580537
"LINESTRING (113.643254 -8.1922869,113.642491 -8.1925074,113.6419287 -8.1926859)",1996,residential,,152.669444193437
"LINESTRING (113.6429744 -8.1913645,113.6429603 -8.1913618,113.6429429 -8.1913631,113.6424398 -8.1915029,113.6416359 -8.1917213)",1997,residential,,152.973840631232
"LINESTRING (113.641106 -8.1915508,113.6415055 -8.1914296)",1998,residential,,46.0467845512495
"LINESTRING (113.641023 -8.1902611,113.6406304 -8.1902942)",1999,residential,,43.4439512469376
"LINESTRING (113.6402197 -8.1896184,113.6405716 -8.1895823)",2000,residential,,39.0067240443092
"LINESTRING (113.6402357 -8.1900019,113.6406073 -8.1899473)",2001,residential,,41.4168911464804
"LINESTRING (113.6397168 -8.1931544,113.6396986 -8.1935372,113.6396441 -8.1939109,113.6396381 -8.194077,113.6397081 -8.1947892)",2002,residential,,181.791413560583
"LINESTRING (113.6324255 -8.1951976,113.634464 -8.1949912)",2003,residential,,225.924701013773
"LINESTRING (113.6375315 -8.1851282,113.6375195 -8.1854003,113.6375034 -8.1856605,113.6374833 -8.1857999,113.6374578 -8.1859326)",2004,residential,,89.53033090127
"LINESTRING (113.637152 -8.1834841,113.6371078 -8.1834549,113.6370809 -8.1834191,113.6370702 -8.1833859,113.6370635 -8.1833521,113.6370648 -8.1832777,113.6370803 -8.1823344,113.6370769 -8.1820857,113.6371011 -8.1818786,113.6371279 -8.1817193,113.637151 -8.1815957,113.6371842 -8.1812865,113.6372411 -8.1807934,113.6372727 -8.1807131,113.6373183 -8.1806533,113.637549 -8.1804821,113.6375821 -8.180424,113.6375919 -8.1803679,113.6376482 -8.1797732,113.6376451 -8.179719,113.6376362 -8.1796684,113.6375785 -8.1796007,113.6375759 -8.179563,113.6377028 -8.1791814,113.6377126 -8.1791453,113.6377123 -8.1791322,113.6377072 -8.1791208,113.6376958 -8.1791148,113.6376112 -8.1790904,113.6375976 -8.1790841)",2005,residential,,522.170739752581
"LINESTRING (113.6346844 -8.1767731,113.6348828 -8.176805,113.6349365 -8.176805,113.6349875 -8.1767944,113.6350545 -8.1767612,113.6351101 -8.1767213,113.6351739 -8.1766908,113.6352461 -8.1766779,113.6353321 -8.1766709,113.6354166 -8.1766855,113.6366681 -8.1768918)",2006,residential,,224.368373235483
"LINESTRING (113.6409917 -8.1887375,113.6406832 -8.1887747,113.6405289 -8.1887985,113.6401199 -8.1888185)",2007,residential,,96.6327680857218
"LINESTRING (113.6382088 -8.1867264,113.638182 -8.1865353,113.6381552 -8.1864045,113.6381431 -8.186372,113.6381317 -8.1863298,113.6381263 -8.1862864,113.6381337 -8.186078,113.6381498 -8.1858204,113.638178 -8.1855908,113.6381847 -8.1854733,113.6381867 -8.1854368,113.6381941 -8.1853884,113.6382108 -8.1852875)",2008,residential,,160.685762201092
"LINESTRING (113.6347634 -8.1822944,113.635027 -8.1822689,113.635257 -8.1822436,113.635375 -8.182225,113.6354126 -8.1822131,113.6354367 -8.1821958,113.6354461 -8.1821673,113.6354501 -8.1821401,113.6354488 -8.182079,113.6354421 -8.1820232,113.6353965 -8.1817923,113.6353536 -8.1816117,113.6353322 -8.1815016)",2009,residential,,153.853649580384
"LINESTRING (113.6312351 -8.1790232,113.6314429 -8.1790684,113.6317567 -8.1791401,113.6319016 -8.1791892,113.6320639 -8.1792542,113.6322771 -8.1793471,113.6324434 -8.1794281,113.6324796 -8.1794427,113.6325976 -8.1794918,113.6326781 -8.179521,113.6326989 -8.1795383,113.6327103 -8.1795608,113.632719 -8.1795874,113.632721 -8.1796166,113.6327103 -8.1796777,113.6326767 -8.1798117,113.6326137 -8.1800361,113.6325413 -8.1802458,113.6324883 -8.1803759,113.6324313 -8.1805193,113.6323549 -8.1807111,113.6323073 -8.1808292,113.6322811 -8.180891,113.6322543 -8.1809441,113.6322107 -8.1810297,113.6321678 -8.1811259,113.6321416 -8.1812281,113.6320585 -8.1821348)",2010,residential,,471.865303888411
"LINESTRING (113.6364627 -8.1745353,113.6368637 -8.1745138,113.6372083 -8.1745178,113.6377086 -8.1745324,113.6380559 -8.1745576,113.6385052 -8.1745935,113.6386527 -8.1745948,113.6388043 -8.1745762,113.6390068 -8.1745589,113.6392294 -8.1745642,113.6392663 -8.1745722,113.6392911 -8.1745855,113.6393441 -8.1746505,113.6394493 -8.1747667,113.6395191 -8.1748039,113.6395868 -8.1748251,113.6397343 -8.1748576,113.6400528 -8.1749247,113.640781 -8.1750846,113.6413309 -8.1751882,113.641984 -8.1752851,113.6426546 -8.1753634,113.6430743 -8.1753952,113.6432567 -8.1753926,113.6433171 -8.1753846,113.6433667 -8.1753581,113.6433962 -8.175305,113.6434096 -8.1752174,113.6434042 -8.1749598,113.6433982 -8.1748304,113.6434029 -8.1748078,113.643423 -8.1747826,113.6434539 -8.1747654,113.6435638 -8.1747355,113.6436785 -8.1747169,113.6437382 -8.1746977,113.6438005 -8.1746678,113.6438595 -8.1746499,113.6439125 -8.1746446,113.6440379 -8.1746499,113.6445133 -8.1746937,113.644909 -8.1747269,113.6451463 -8.1747415,113.6452469 -8.1747461,113.6453354 -8.1747388,113.6454367 -8.1747275,113.64555 -8.1746963,113.645668 -8.1746512,113.6457854 -8.1746014,113.6458746 -8.1745755,113.6459671 -8.1745609,113.6462058 -8.1745477,113.646417 -8.1745443,113.6467993 -8.1745457,113.6473156 -8.1745198,113.6479975 -8.1744846,113.6486278 -8.1744474,113.6493748 -8.1744222,113.6498536 -8.1743903,113.6501371 -8.1743698)",2011,unclassified,,1591.80657326285
"LINESTRING (113.6417587 -8.2076423,113.641685 -8.2078095)",2012,tertiary,,20.2094755815185
"LINESTRING (113.640459 -8.2212792,113.6404472 -8.2216801,113.6404413 -8.2218825)",2013,residential,,66.7948810914132
"LINESTRING (113.6327505 -8.2209277,113.6328917 -8.2217439)",2014,residential,,91.6588985775239
"LINESTRING (113.6413551 -8.2061039,113.6422724 -8.2059977,113.6427471 -8.2060043)",2015,residential,,154.165832449491
"LINESTRING (113.7418252 -8.2200995,113.7412464 -8.2202599)",2016,residential,,66.2437175269504
"LINESTRING (113.7686862 -8.2419772,113.7682638 -8.2414967,113.7682343 -8.2414502,113.7682161 -8.2413938,113.7682027 -8.2413301,113.7682001 -8.2412684,113.7682014 -8.2411934,113.7682229 -8.2404449,113.7682349 -8.2401542,113.7682363 -8.2400818,113.7682443 -8.2400215,113.7682597 -8.239971,113.7682758 -8.2399325,113.7683094 -8.2398522,113.7683577 -8.2397395,113.7683684 -8.2397089,113.7683992 -8.2395947,113.7684166 -8.2394833,113.7684207 -8.2394116,113.7684146 -8.2393406,113.7684032 -8.2392722,113.7683959 -8.2392311,113.7683751 -8.2391501,113.7683576 -8.2391023,113.7683248 -8.2390326,113.7682584 -8.2389404,113.7681887 -8.2388555,113.7680519 -8.2387307,113.7678306 -8.2384785,113.767736 -8.2383465,113.7676891 -8.2382721,113.7676489 -8.2381878,113.7676301 -8.2381109,113.7675972 -8.2379815,113.7675731 -8.237864,113.767557 -8.2375003,113.7675396 -8.2368898,113.7675221 -8.2365699,113.767506 -8.2363615,113.7675141 -8.2361704,113.7675489 -8.2360231,113.7675919 -8.2359355,113.7676656 -8.2358226,113.7677461 -8.2357311,113.7679915 -8.2354895,113.7684743 -8.2350488,113.7686084 -8.2348882,113.7687787 -8.2346016,113.7688512 -8.2343918,113.768874 -8.2342671,113.7688793 -8.2341463,113.7688659 -8.2340361,113.7688324 -8.233849,113.7687922 -8.2337096,113.7686983 -8.2335105,113.7686178 -8.2333977,113.7685601 -8.2333035,113.7685011 -8.233192,113.7684743 -8.2331163,113.7684448 -8.2329438,113.7684327 -8.2328084,113.7684301 -8.2326876,113.768426 -8.2324978,113.7684354 -8.2323916,113.7684461 -8.2322881,113.768473 -8.2321912,113.7684958 -8.2320784,113.7685373 -8.2319696,113.7685655 -8.2318753,113.7685856 -8.2317691,113.7685937 -8.2316776,113.768591 -8.2316059,113.7685789 -8.2315329,113.7685494 -8.2314506,113.7685172 -8.2313643,113.7683201 -8.2309316,113.768201 -8.2306925,113.7681551 -8.2305786,113.7681162 -8.2304472,113.7680934 -8.2303237,113.7680814 -8.2302335,113.7680814 -8.2301153,113.7681042 -8.2299826,113.7681337 -8.2298512,113.7681551 -8.2296707,113.7681545 -8.2296415,113.7681524 -8.2295512,113.7681176 -8.2292898,113.7680894 -8.2291623,113.7680666 -8.2290694,113.7680116 -8.2289062,113.7678668 -8.2285836,113.7676911 -8.2281828,113.7675852 -8.2279492,113.7675369 -8.2277554,113.7675302 -8.2276545,113.7675476 -8.2275536,113.7675717 -8.2274753,113.7676643 -8.2273121,113.768536 -8.2259596,113.7694144 -8.2246057,113.7694748 -8.2245154,113.7694949 -8.2244663,113.7695043 -8.2244185,113.7695083 -8.2243416,113.7695083 -8.224246,113.769511 -8.2232877,113.7695056 -8.2230541,113.7695244 -8.2229187,113.7696002 -8.222691,113.7696096 -8.2226227,113.7696028 -8.2225849,113.7695814 -8.222555,113.7695284 -8.2225231,113.7688198 -8.2222605,113.7680883 -8.222082,113.7675244 -8.2219364,113.7670505 -8.221763,113.7666723 -8.2216609)",2017,residential,,2693.88164860151
"LINESTRING (113.7407322 -8.2211095,113.7404477 -8.2211583)",2018,residential,,31.8314841868273
"LINESTRING (113.754378 -8.2198127,113.754158 -8.2194252,113.7540212 -8.2192712,113.7539864 -8.2192632,113.7539381 -8.2192739,113.7538335 -8.2193482,113.7534714 -8.2195844,113.7531924 -8.2197835,113.7532058 -8.2198446,113.7533211 -8.2199429,113.7539488 -8.2204578,113.7557164 -8.2217055,113.7571906 -8.2226496)",2019,residential,,726.577045438852
"LINESTRING (113.7468329 -8.2106129,113.7466371 -8.2105492,113.7465017 -8.2105081,113.7463742 -8.2104629,113.7462589 -8.2104298,113.7460349 -8.2103966,113.7457922 -8.2103714,113.7454744 -8.2103541,113.745288 -8.2103435,113.7449554 -8.210305,113.7446925 -8.2102678,113.7444431 -8.2102479,113.7441802 -8.2102214,113.7439133 -8.2102054,113.7435687 -8.2102001,113.7432159 -8.2101948,113.7427989 -8.2101855,113.7426929 -8.2101776,113.7426379 -8.2101656,113.7426044 -8.2101377,113.7425897 -8.2100714,113.742587 -8.2099732,113.7425883 -8.2098895,113.7425829 -8.2098271,113.7425548 -8.20979,113.7425199 -8.2097634,113.7424743 -8.2097515,113.7423496 -8.2097342,113.742127 -8.209701,113.7418158 -8.2096652,113.7415235 -8.2096453,113.7413062 -8.209636,113.7411453 -8.2096426,113.7409709 -8.2096519,113.7407993 -8.2096798,113.7405002 -8.2097369,113.7401113 -8.2098033,113.7397988 -8.2098643,113.739489 -8.2099108,113.7392543 -8.2099493,113.7392034 -8.2099665,113.7391698 -8.2099864,113.7391618 -8.2100302,113.7391618 -8.2100833,113.7391698 -8.2101988,113.7391913 -8.2104298,113.7392208 -8.2106833,113.7392838 -8.2110868,113.739363 -8.211554,113.7393965 -8.2117146)",2020,residential,,1084.12432799919
"LINESTRING (113.7397639 -8.2117372,113.7396312 -8.2117452,113.7395561 -8.2117545,113.7394957 -8.2117624,113.7394474 -8.2117571,113.7394153 -8.2117452,113.7393965 -8.2117146)",2021,residential,,42.8264152162178
"LINESTRING (113.7404573 -8.2213976,113.7404477 -8.2211583,113.7401837 -8.2202747,113.7400576 -8.2198287,113.7399718 -8.2194809,113.7399209 -8.2191995,113.7398592 -8.2189181,113.7397969 -8.2186412)",2022,residential,,314.396006275882
"LINESTRING (113.7709191 -8.2199866,113.7709406 -8.2197862,113.7710801 -8.2189208,113.7711229 -8.2185148,113.7712008 -8.217776,113.7711947 -8.2177537,113.7711867 -8.2177405,113.7711719 -8.2177305,113.7711545 -8.2177242,113.770322 -8.2175813)",2023,residential,,348.148681016199
"LINESTRING (113.7673163 -8.2179598,113.7670199 -8.2180633,113.7669904 -8.2180779,113.7669689 -8.2181032,113.7669582 -8.2181343,113.7669575 -8.2181596,113.7669837 -8.2183845,113.7669964 -8.2185219,113.767002 -8.2186638,113.7669652 -8.2188412,113.7669662 -8.2189294,113.7669253 -8.2196402,113.7669414 -8.2202003,113.7670094 -8.2205764)",2024,residential,,317.348509042342
"LINESTRING (113.7635806 -8.2183102,113.7639508 -8.2187164,113.7643585 -8.219088,113.7646535 -8.2193827,113.7647903 -8.2195261,113.7649405 -8.2196508,113.7650263 -8.2197251,113.7650505 -8.2197756,113.765147 -8.2203676)",2025,residential,,296.285835463028
"LINESTRING (113.7628283 -8.2199216,113.7631427 -8.2200118,113.7635538 -8.220122,113.7637925 -8.2201764,113.764675 -8.2202959,113.765147 -8.2203676,113.7669745 -8.2206255)",2026,residential,,464.392837726058
"LINESTRING (113.7172562 -8.2204047,113.7171569 -8.2203387,113.7171299 -8.2203239,113.7170993 -8.2203046,113.7170701 -8.2202858,113.7170312 -8.2202637)",2027,residential,,29.3241908756426
"LINESTRING (113.7004767 -8.2196809,113.7007056 -8.2196632,113.7009435 -8.2196968,113.701061 -8.2189619)",2028,residential,,134.167293204735
"LINESTRING (113.6923711 -8.2184062,113.6926673 -8.2184511)",2029,residential,,33.0348246608797
"LINESTRING (113.7172844 -8.2198061,113.7171958 -8.2199694,113.7170312 -8.2202637,113.7167908 -8.220641,113.7166661 -8.2207791,113.7165977 -8.2207817,113.7165052 -8.2207445,113.7162973 -8.2206277,113.7161243 -8.2205401,113.7158515 -8.220373)",2030,residential,,229.421158177742
